Schedule,Block 1 Rotation,Block 1 Site,Block 2 Rotation,Block 2 Site,Block 3 Rotation,Block 3 Site,Block 4 Rotation,Block 4 Site,Block 5 Rotation,Block 5 Site,Block 6 Rotation,Block 6 Site,Block 7 Rotation,Block 7 Site,Block 8 Rotation,Block 8 Site,Block 9 Rotation,Block 9 Site,Max Pairwise Distance (min),Dominant City
72,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,UH Cleveland Medical Center,Elective,Generic Elective,Obstetrics/Gynecology,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,56.5,Akron
73,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Family Medicine,"Summa Health, Akron",Emergency Medicine,UH Portage Medical Center,Surgery,"Summa Health, Akron",47.8,Akron
74,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Elective,Generic Elective,3.9,Akron
75,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Surgery,Western Reserve Hospital,Emergency Medicine,"Summa Health, Akron",Elective,Generic Elective,22.7,Akron
76,Family Medicine,Mercy Health St. Elizabeth Youngstown,Psychiatry,"Summa Health, Akron",Elective,Generic Elective,Emergency Medicine,Cleveland Clinic Akron General,Surgery,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",51,Akron
77,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Psychiatry,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Aultman Hospital,Elective,Generic Elective,67.1,Akron
78,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Elective,Generic Elective,26.9,Akron
79,Obstetrics/Gynecology,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Family Medicine,"Summa Health, Akron",52.2,Akron
80,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Family Medicine,"Summa Health, Akron",Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Pediatrics,"Akron Children's Hospital, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Elective,Generic Elective,121.3,Akron
81,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Aultman Hospital,Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Elective,Generic Elective,26.9,Akron
82,Elective,Generic Elective,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",3.9,Akron
83,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Psychiatry,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Family Medicine,Mercy Health St. Elizabeth Boardman,67.1,Akron
84,Family Medicine,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Elective,Generic Elective,3.9,Akron
85,Obstetrics/Gynecology,Cleveland Clinic Akron General,Family Medicine,"Summa Health Systems, Barberton",Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,15.8,Akron
86,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Family Medicine,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,Cleveland Clinic Mercy Medical Center (Canton),Pediatrics,"Akron Children's Hospital, Akron",26.9,Akron
87,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Family Medicine,UH Lake Health West Medical Center,Obstetrics/Gynecology,Aultman Hospital,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Pediatrics,Senders Pediatrics,Emergency Medicine,UH Ahuja Medical Center,Surgery,UH Cleveland Medical Center,Elective,Generic Elective,75.2,Eastern Cleveland
88,Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Pediatrics,"Akron Children's Hospital, Akron",57.4,Akron
89,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown,Surgery,Mercy Health St. Elizabeth Youngstown,Emergency Medicine,Mercy Health St. Elizabeth Youngstown,Pediatrics,"Akron Children's Hospital, Beeghley",Family Medicine,Mercy Health St. Elizabeth Youngstown,Psychiatry,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Elective,Generic Elective,16.7,Youngstown
90,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Aultman Hospital,Psychiatry,"Summa Health, Akron",Elective,Generic Elective,75.2,Akron
91,Family Medicine,Aultman Hospital,Psychiatry,Louis Stokes Cleveland VA,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Elective,Generic Elective,66.2,Canton
92,Pediatrics,UH Cleveland Medical Center,Psychiatry,Mercy Health Lorain Hospital,Family Medicine,UH St. John Medical Center,Elective,Generic Elective,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,UH Ahuja Medical Center,Obstetrics/Gynecology,UH St. John Medical Center,51.2,Western Cleveland
93,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Aultman Hospital,Emergency Medicine,"Summa Health, Akron",Elective,Generic Elective,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Psychiatry,Mercy Health St. Elizabeth Youngstown,66.3,Canton
94,Obstetrics/Gynecology,Aultman Hospital,Psychiatry,UH Cleveland Medical Center,Elective,Generic Elective,Family Medicine,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,56.5,Canton
95,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Aultman Hospital,Psychiatry,UH Cleveland Medical Center,56.5,Canton
96,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Emergency Medicine,Aultman Hospital,Surgery,Aultman Hospital,Family Medicine,Aultman Hospital,58.3,Canton
97,Family Medicine,Aultman Hospital,Emergency Medicine,"Summa Health, Akron",Surgery,Aultman Hospital,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Louis Stokes Cleveland VA,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,Aultman Hospital,66.2,Canton
98,Elective,Generic Elective,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Psychiatry,UH Cleveland Medical Center,Emergency Medicine,Aultman Hospital,Surgery,Aultman Hospital,56.5,Canton
99,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,Psychiatry,Northcoast Behavioral Health,Family Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,50.3,Canton
100,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Family Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,28.4,Akron
101,Elective,Generic Elective,Family Medicine,Aultman Hospital,Surgery,Aultman Hospital,Emergency Medicine,Cleveland Clinic Union Hospital,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,UH Cleveland Medical Center,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,Aultman Hospital,79.4,Canton
102,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Family Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Emergency Medicine,MetroHealth Medical Center,Pediatrics,UH Cleveland Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,Psychiatry,UH Cleveland Medical Center,Elective,Generic Elective,34.1,Western Cleveland
103,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Aultman Hospital,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,58.3,Canton
104,Family Medicine,Mercy Health St. Elizabeth Boardman,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,67.1,Akron
105,Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,Family Medicine,Aultman Hospital,26.9,Canton
106,Family Medicine,Aultman Hospital,Elective,Generic Elective,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Aultman Hospital,Psychiatry,"Summa Health, Akron",Emergency Medicine,Aultman Hospital,Surgery,Aultman Hospital,26.9,Canton
107,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Family Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Psychiatry,Louis Stokes Cleveland VA,Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,66.2,Canton
108,Elective,Generic Elective,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown,Psychiatry,Mercy Health St. Elizabeth Youngstown,Family Medicine,Mercy Health St. Elizabeth Youngstown,Surgery,Mercy Health St. Elizabeth Youngstown,Emergency Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Pediatrics,"Akron Children's Hospital, Beeghley",68,Youngstown
109,Surgery,Cleveland Clinic Akron General,Emergency Medicine,UH Portage Medical Center,Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,32.4,Akron
110,Psychiatry,Columbus VA Clinic,Elective,Generic Elective,Internal Medicine,OhioHealth Riverside Methodist Hospital,Internal Medicine,OhioHealth Riverside Methodist Hospital,Family Medicine,Mount Carmel Health System,Surgery,OhioHealth Riverside Methodist Hospital,Emergency Medicine,Columbus VA Clinic,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Pediatrics,"Akron Children's Hospital, Akron",115.5,Columbus
111,Obstetrics/Gynecology,UH Ahuja Medical Center,Psychiatry,MetroHealth Medical Center,Pediatrics,MetroHealth Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Elective,Generic Elective,33,Western Cleveland
112,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Internal Medicine,OhioHealth Riverside Methodist Hospital,Internal Medicine,OhioHealth Riverside Methodist Hospital,Psychiatry,Columbus VA Clinic,Family Medicine,Mount Carmel Health System,Surgery,OhioHealth Riverside Methodist Hospital,Emergency Medicine,Columbus VA Clinic,Elective,Generic Elective,115.5,Columbus
113,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Surgery,Mercy Health St. Elizabeth Youngstown,Emergency Medicine,Mercy Health St. Elizabeth Youngstown,Pediatrics,"Akron Children's Hospital, Beeghley",Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown,Psychiatry,Mercy Health St. Elizabeth Youngstown,Family Medicine,Mercy Health St. Elizabeth Youngstown,Elective,Generic Elective,16.7,Youngstown
114,Family Medicine,UH Lake Health West Medical Center,Obstetrics/Gynecology,UH TriPoint Medical Center,Surgery,UH Lake Health West Medical Center,Emergency Medicine,UH Lake Health West Medical Center,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Pediatrics,Senders Pediatrics,Psychiatry,Louis Stokes Cleveland VA,Elective,Generic Elective,48.3,Eastern Cleveland
115,Emergency Medicine,UH Lake Health West Medical Center,Surgery,UH Lake Health West Medical Center,Obstetrics/Gynecology,UH TriPoint Medical Center,Pediatrics,Senders Pediatrics,Family Medicine,UH Lake Health West Medical Center,Elective,Generic Elective,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Psychiatry,Louis Stokes Cleveland VA,48.3,Eastern Cleveland
116,Elective,Generic Elective,Pediatrics,UH Cleveland Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Family Medicine,MetroHealth Medical Center,Surgery,Louis Stokes Cleveland VA,Emergency Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,Psychiatry,MetroHealth Medical Center,30.7,Western Cleveland
117,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,UH Cleveland Medical Center,Family Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Western Reserve Hospital,Elective,Generic Elective,49.8,Akron
118,Elective,Generic Elective,Family Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Obstetrics/Gynecology,UH St. John Medical Center,Pediatrics,UH Cleveland Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,UH St. John Medical Center,37.4,Western Cleveland
119,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Emergency Medicine,UH Lake Health West Medical Center,Surgery,UH Lake Health West Medical Center,Obstetrics/Gynecology,UH TriPoint Medical Center,Elective,Generic Elective,Family Medicine,UH Lake Health West Medical Center,Psychiatry,Louis Stokes Cleveland VA,Pediatrics,Senders Pediatrics,48.3,Eastern Cleveland
120,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Family Medicine,Mercy Health St. Elizabeth Youngstown,Pediatrics,"Akron Children's Hospital, Beeghley",Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown,Psychiatry,Mercy Health St. Elizabeth Youngstown,Elective,Generic Elective,Surgery,Mercy Health St. Elizabeth Youngstown,Emergency Medicine,Mercy Health St. Elizabeth Youngstown,16.7,Youngstown
121,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Elective,Generic Elective,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Surgery,UH Cleveland Medical Center,Emergency Medicine,UH Ahuja Medical Center,Obstetrics/Gynecology,UH TriPoint Medical Center,Pediatrics,Senders Pediatrics,Family Medicine,UH Lake Health West Medical Center,53.3,Eastern Cleveland
122,Emergency Medicine,MetroHealth Medical Center,Surgery,UH Cleveland Medical Center,Pediatrics,UH Cleveland Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,Psychiatry,UH Cleveland Medical Center,Family Medicine,UH Lake Health West Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Elective,Generic Elective,37.7,Western Cleveland
123,Psychiatry,Louis Stokes Cleveland VA,Pediatrics,MetroHealth Medical Center,Obstetrics/Gynecology,UH St. John Medical Center,Family Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Elective,Generic Elective,33.2,Western Cleveland
124,Elective,Generic Elective,Psychiatry,Louis Stokes Cleveland VA,Obstetrics/Gynecology,UH Ahuja Medical Center,Family Medicine,MetroHealth Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Internal Medicine,UH Parma Medical Center,Internal Medicine,UH Parma Medical Center,Pediatrics,UH Cleveland Medical Center,30.8,Western Cleveland
125,Obstetrics/Gynecology,UH St. John Medical Center,Elective,Generic Elective,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Pediatrics,UH Cleveland Medical Center,Family Medicine,UH St. John Medical Center,Psychiatry,UH Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,Cleveland Clinic Fairview Hospital,34.1,Western Cleveland
126,Pediatrics,UH Cleveland Medical Center,Elective,Generic Elective,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,UH St. John Medical Center,Family Medicine,UH St. John Medical Center,Obstetrics/Gynecology,UH St. John Medical Center,37.4,Western Cleveland
127,Family Medicine,Mercy Health St. Elizabeth Boardman,Elective,Generic Elective,Internal Medicine,UH Parma Medical Center,Internal Medicine,UH Parma Medical Center,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Emergency Medicine,MetroHealth Medical Center,Surgery,UH Cleveland Medical Center,Psychiatry,UH Cleveland Medical Center,Pediatrics,"Akron Children's Hospital, Akron",159.4,Eastern Cleveland
128,Psychiatry,MetroHealth Medical Center,Pediatrics,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,UH Cleveland Medical Center,Elective,Generic Elective,18.9,Western Cleveland
129,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Obstetrics/Gynecology,UH St. John Medical Center,Pediatrics,"Akron Children's Hospital, Akron",Emergency Medicine,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Family Medicine,UH St. John Medical Center,Elective,Generic Elective,63.7,Western Cleveland
130,Elective,Generic Elective,Obstetrics/Gynecology,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Family Medicine,UH St. John Medical Center,Emergency Medicine,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Pediatrics,UH Cleveland Medical Center,Psychiatry,Mercy Health Lorain Hospital,37.4,Western Cleveland
131,Elective,Generic Elective,Surgery,Cleveland Clinic Mercy Medical Center (Canton),Emergency Medicine,"Summa Health, Akron",Family Medicine,"Summa Health, Akron",Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",71.5,Akron
132,Elective,Generic Elective,Pediatrics,UH Cleveland Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Obstetrics/Gynecology,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,UH Ahuja Medical Center,Psychiatry,Mercy Health Lorain Hospital,Family Medicine,UH St. John Medical Center,51.2,Western Cleveland
133,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Family Medicine,UH St. John Medical Center,Surgery,UH Cleveland Medical Center,Emergency Medicine,UH St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,UH St. John Medical Center,Elective,Generic Elective,63.7,Western Cleveland
134,Psychiatry,Mercy Health Lorain Hospital,Elective,Generic Elective,Obstetrics/Gynecology,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,UH St. John Medical Center,Family Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Pediatrics,UH Cleveland Medical Center,37.4,Western Cleveland
135,Surgery,UH Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Pediatrics,MetroHealth Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Elective,Generic Elective,Psychiatry,UH Cleveland Medical Center,Family Medicine,MetroHealth Medical Center,124.4,Western Cleveland
136,Obstetrics/Gynecology,UH St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Elective,Generic Elective,Family Medicine,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Pediatrics,UH Cleveland Medical Center,38.7,Western Cleveland
137,Elective,Generic Elective,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,Cleveland Clinic Akron General,51.6,Akron
138,Emergency Medicine,UH Ahuja Medical Center,Surgery,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Pediatrics,UH Cleveland Medical Center,Psychiatry,MetroHealth Medical Center,Elective,Generic Elective,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Obstetrics/Gynecology,Cleveland Clinic Akron General,49.6,Western Cleveland
139,Psychiatry,Mercy Health Lorain Hospital,Elective,Generic Elective,Pediatrics,UH Cleveland Medical Center,Obstetrics/Gynecology,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Family Medicine,UH St. John Medical Center,Emergency Medicine,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,37.4,Western Cleveland
140,Family Medicine,UH St. John Medical Center,Obstetrics/Gynecology,UH St. John Medical Center,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Emergency Medicine,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,63.7,Western Cleveland
141,Elective,Generic Elective,Family Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Mercy Medical Center (Canton),Emergency Medicine,Cleveland Clinic Akron General,26,Akron
142,Elective,Generic Elective,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Pediatrics,MetroHealth Medical Center,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,33,Western Cleveland
143,Internal Medicine,UH St. John Medical Center,Internal Medicine,UH St. John Medical Center,Psychiatry,UH Cleveland Medical Center,Family Medicine,UH St. John Medical Center,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Obstetrics/Gynecology,UH St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,UH St. John Medical Center,51.2,Western Cleveland
